Name,Specialty,Symptoms,Usual onset,Duration,Causes,Risk factors,Diagnostic method,Prevention,Treatment,Prognosis,Frequency,Medication,ImageURL
Edema,"Cardiology, nephrology","Skin which feels tight, area may feel heavy",Sudden or gradual,,"Venous insufficiency, heart failure, kidney problems, low protein levels, liver problems, deep vein thrombosis, lymphedema",,Based on a physical exam,,Based on cause,,,,https://upload.wikimedia.org/wikipedia/commons/8/81/Case_11-leftN.PNG
Ehlers-Danlos syndrome,"Medical genetics, rheumatology","Overly flexible joints, stretchy skin, abnormal scar formation",Childhood or teens depending on type.,Lifelong,Genetic,Family history,"Genetic testing, skin biopsy",,Supportive,Depends on specific disorder,"1 in 5,000",,https://upload.wikimedia.org/wikipedia/commons/1/13/A_case_of_keratoglobus_in_a_case_of_Brittle_cornea_syndrome.png
Ehrlichiosis,Infectious disease,"Fever, chills, severe headaches, muscle aches, nausea, vomiting, diarrhea, loss of appetite, confusion, and splotchy or pinpoint rash. More severe symptoms include brain or nervous system damage, respiratory failure, uncontrollable bleeding, organ failure, and death.",,,Bite from an infected tick,"Age, being immunocompromised, having received an organ transplant, and certain medications",,,,,,,https://upload.wikimedia.org/wikipedia/commons/4/47/Ixodes_scapularis.jpg
Eisenmenger syndrome,Medical genetics,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/a/ac/ClubbingFingers1.jpg
Elevated blood pressure,Cardiology,None,,,Usually lifestyle and genetic factors,"Lack of sleep, Excess salt, excess body weight, smoking, alcohol Air Pollution",Resting blood pressureÂ 130/80 or 140/90Â mmHg,,"Lifestyle changes, medications",,16â€“37% globally,,https://upload.wikimedia.org/wikipedia/commons/d/d0/Blausen_0486_HighBloodPressure_01.png
Embryonal tumors,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/9/9f/Mitotic_Metaphase.svg
Emphysema,Pulmonology,"Shortness of breath, chronic cough",Over 35 years old,Long term,"Tobacco smoking, air pollution, genetics",,Spirometry,"Stopping smoking, improving indoor and outdoor air quality, tobacco control measures","Pulmonary rehabilitation, long-term oxygen therapy, lung volume reduction",,,Inhaled bronchodilators and corticosteroids,https://upload.wikimedia.org/wikipedia/commons/f/fc/Bullus_emphasemaCT.png
Encephalitis,"Neurology, Infectious disease","Headache, fever, confusion, stiff neck, vomiting",,Weeks to months for recovery,"Infection, autoimmune, certain medication, unknown",,"Based on symptoms, supported by blood tests, medical imaging, analysis of cerebrospinal fluid",,"Antiviral medication, anticonvulsants, corticosteroids, artificial respiration",Variable,4.3 million (2015),,https://upload.wikimedia.org/wikipedia/commons/a/a1/Encephalitis_world_map-Deaths_per_million_persons-WHO2012.svg
Endocarditis,"Cardiology, Infectious disease",,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/9/93/Blood_culture_negative_endocarditis.jpg
Endometriosis,Gynecology,"Pelvic pain, infertility",30â€“40 years old,Long term,Unknown,Family history,"Based on symptoms, medical imaging, tissue biopsy","Combined birth control pills, exercise, avoiding alcohol and caffeine","NSAIDs, continuous birth control pills, intrauterine device with progestogen, surgery",,10.8 million (2015),,https://upload.wikimedia.org/wikipedia/commons/d/d5/Blausen_0349_Endometriosis.png
End-stage renal disease,Nephrology,"Early: NoneLater: Leg swelling, feeling tired, vomiting, loss of appetite, confusion",,Long-term,"Diabetes, high blood pressure, glomerulonephritis, polycystic kidney disease",,"Blood tests, urine tests",,"Medications to manage blood pressure, blood sugar, and lower cholesterol, renal replacement therapy, kidney transplant",,753 million (2016),,https://upload.wikimedia.org/wikipedia/commons/0/0b/CKD_-_Chronic_kidney_disease.jpg
Enlarged breasts in men ( gynecomastia ),,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/c/cd/AMI_-_Schlangeng%C3%B6ttin_crop.jpg
Enlarged heart,Cardiology,,,,"Dilated cardiomyopathy, Hypertrophic cardiomyopathy.",,Hypertrophic cardiomyopathy screening,,,,,,https://upload.wikimedia.org/wikipedia/commons/7/7a/Cardiomegally.PNG
Entropion,Medical genetics,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/0/05/Canine_entropion.JPG
Eosinophilic esophagitis,"Immunology, Gastroenterology",,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/1/16/CC-BY_icon.svg
Eosinophilic granulomatosis with polyangiitis,"Immunology, rheumatology","Fatigue, fever, weight loss, night sweats, abdominal pain, cough, joint pain, muscle pain, bleeding into tissues under the skin, a rash with hives, small bumps, or a general feeling of ill.",,,,"History of allergy, asthma and asthma-associated lung abnormalities (i.e., pulmonary infiltrates).","antineutrophil cytoplasmic antibodies (ANCA); cluster of asthma, eosinophilia, mono- or polyneuropathy, nonfixed pulmonary infiltrates, abnormality of the paranasal sinuses, and extravascular eosinophilia.",,Suppress the activity of the immune system to alleviate inflammation.,,,"Corticosteroid medications such as prednisone or methylprednisolone, and mepolizumab. Proliferation inhibitor for those with the presence of kidney or neurological disease.",https://upload.wikimedia.org/wikipedia/commons/3/34/Churg-Strauss_syndrome_-_high_mag.jpg
Ependymoma,Neuro-oncology,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/4/44/Ependymom_ax_T2.jpg
Epidermolysis bullosa,Dermatology,Painful skin blisters,At birth,Often lifelong,Genetic,,"Skin biopsy, genetic testing",,"Wound care, pain control, controlling infections, nutritional support",,"around 1 in 500,000",,https://upload.wikimedia.org/wikipedia/commons/9/98/Ambox_current_red.svg
Epididymitis,"Urology, Infectious disease","Pain in the back of the testicle, swelling of the testicle, burning with urination, frequent urination",Over a day or two,,"Gonorrhea, chlamydia, enteric bacteria, reflux of urine",,"Based on symptoms, ultrasound",,"Pain medications, antibiotics, elevation",,"600,000 per year (age 15-35, US)","NSAIDs, ceftriaxone and doxycycline, ofloxacin",https://upload.wikimedia.org/wikipedia/commons/c/c0/Epididymis-KDS.jpg
Epiglottitis,Pulmonology,"Trouble swallowing, drooling, changes to the voice, fever, increased breathing rate, stridor",Rapid,,"H. influenzae type b, burns, trauma to the area",,"Medical imaging, looking at the epiglottis","Hib vaccine, rifampin","Endotracheal intubation, intravenous antibiotics, corticosteroids",5% risk of death,"~2 per 100,000 per year",,https://upload.wikimedia.org/wikipedia/commons/7/7e/Epiglottis_%28PSF%29.png
Epithelioid sarcoma,Oncology,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/9/97/Epithelioid_sarcoma_-_cropped_-_very_high_mag.jpg
Esophageal cancer,Gastroenterology General surgery oncology,"Difficulty swallowing, weight loss, hoarse voice, enlarged lymph nodes around the collarbone, vomiting blood, blood in the stool",,,,"Smoking tobacco, alcohol, very hot drinks, chewing betel nut, obesity, acid reflux",Tissue biopsy,,"Surgery, chemotherapy, radiation therapy",Five-year survival rates ~15%,"746,000 affected as of 2015",,https://upload.wikimedia.org/wikipedia/commons/8/86/Barretts_esophagus.jpg
Esophageal spasms,Gastroenterology,,,,,,,,,,"1 per 100,000 people per year",,https://upload.wikimedia.org/wikipedia/commons/f/ff/Korkenzieher-%C3%96sophagus.jpg
Esophagitis,Gastroenterology,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/f/f5/Eosinophilic_esophagitis_-_very_high_mag.jpg
Essential tremor,Neurology,,"Any age, but typically after 40",,Unknown,"Family history, exposure to particular toxins",Based on symptoms,,"Medications, surgery",,"Annual incidence of 23.7 per 100,000 (2010)","Beta blockers, primidone, anti-epileptics, topiramate, gabapentin, levetiracetam, benzodiazepines",https://upload.wikimedia.org/wikipedia/commons/d/d1/Spiral_drawing_of_Essential_Tremor_patient.svg
Ewing sarcoma,Oncology,Swell and pain near the tumor,10 to 20 years old,,Unknown,,Tissue biopsy,,"Chemotherapy, radiation therapy, surgery, stem cell transplant",Five-year survival ~ 70%,1 per 1 million people (US),,https://upload.wikimedia.org/wikipedia/commons/2/26/Distribution_of_Ewing%27s_sarcoma.jpg
Exercise-induced asthma,Pulmonology,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/7/77/Open_Access_logo_PLoS_transparent.svg
Eye focusing,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/c/c4/Bison_bonasus_right_eye_close-up.jpg
Eyelid inflammation,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/3/3f/Anterior_Blepharitis.jpg
Eyestrain,Ophthalmology,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/9/99/Wiktionary-logo-en-v2.svg
Factitious disorder,"Psychiatry, psychology",,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/en/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg
Factor V Leiden,Hematology,,,,,,,,,,,,
Familial paroxysmal peritonitis,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/6/6e/Erysipeloid_skin_rashes_in_Familial_Mediterranean_Fever.jpg
FAP,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/e/eb/Baseball_cap.jpg
Fetal alcohol syndrome,"Psychiatry, pediatrics, toxicology, Embryology, Neurology","Abnormal appearance, short height, low body weight, small head size, poor coordination, behavior problems similar to those found in ADHD, learning problems",Prenatal,Long term,Drinking alcohol during pregnancy,,Based on symptoms,Avoiding drinking alcohol during pregnancy,"Parent-child interaction therapy, efforts to modify child behavior, possibly medications",Varies depending on the victim. Life expectancy can range from 31 to 37. Average death age is 34.,1 in 20,,https://upload.wikimedia.org/wikipedia/commons/9/96/FASkid.gif
Fetal macrosomia,"Obstetrics, pediatrics",,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/5/55/New-baby-boy-weight-11-pounds.jpg
Fever,"Infectious disease, pediatrics","Initially: shivering, feeling cold, chillsLater: flushed, sweating",,,"Virus, bacteria, increase in the body's temperature set point",,Temperature > between 37.2 and 38.3Â Â°C (99.0 and 100.9Â Â°F),,"Based on underlying cause, not required for fever itself",,Common,"Ibuprofen, paracetamol (acetaminophen)",https://upload.wikimedia.org/wikipedia/commons/9/93/Clinical_thermometer_38.7.JPG
Fever blister,Infectious disease,Burning pain followed by small blisters or sores,< 20 years old,Heals within 10 days,Typically herpes simplex virus type 1 (direct contact),,Usually based on symptoms,"Avoiding exposure, antiviral medication","Zinc oxide, anesthetic, or antiviral cream, antivirals by mouth",Good,"2.5 per 1,000 affected per year",,
Fibroadenoma,Gynecology,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/4/46/Breast_US_Fibroadenoma_0531092019656_Nevit.jpg
Fibrocystic breasts,,,,,,,,,,,,,
Fibromuscular dysplasia,Cardiology,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/3/36/Fibr.jpg
Fibromyalgia,"Psychiatry, rheumatology, neurology","Widespread pain, feeling tired, sleep problems",Middle age,Long term,Unknown,,Based on symptoms after ruling out other potential causes,,"Sufficient sleep and exercise, healthy diet",Normal life expectancy,2â€“8%,"Duloxetine, milnacipran, pregabalin, gabapentin",https://upload.wikimedia.org/wikipedia/commons/6/62/Canva_-_Woman_Feeling_Emotional_Stress.jpg
"Fibrosis , cystic",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/9/9e/Blausen_0286_CysticFibrosis.png
Fibrous dysplasia,Medical genetics,"Bone pain, bone deformities, local swelling","Adolescence or early adulthood (monostotic), before age 10 (polyostotic)",,Mutations of GNAS locus,,,,,,"1 in 5,000 to 10,000",,
Floaters,Ophthalmology,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/b/b1/CC-BY-icon-80x15.png
Floor of the mouth cancer,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/9/99/Cancer_beagle.jpg
Food allergy,Emergency medicine,"Itchiness, swelling of the tongue, vomiting, diarrhea, hives, trouble breathing, low blood pressure",Minutes to several hours of exposure,"Long term, some may resolve",Immune response to food,"Family history, vitamin D deficiency, obesity, high levels of cleanliness","Based on a medical history, elimination diet, skin prick test, oral food challenge",Early exposure to potential allergens,"Avoiding the food in question, having a plan if exposure occurs, medical alert jewelry",,~6% (developed world),Adrenaline (epinephrine),https://upload.wikimedia.org/wikipedia/commons/3/36/Allergy_degranulation_processes_01.svg
"Food allergy , egg",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/5/5e/Chicken_egg_2009-06-04.jpg
Food-borne illness,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/6/6d/Food_Safety_1.svg
Foot drop,Neurology,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/0/0a/AFO_-_Advanced_Ortho_Baltic.png
Foot fracture,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/4/4e/Anklet_on_female_feet_2.png
"Fracture , arm",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/3/3d/Abydos_KL_04-04_n23.jpg
Frontal lobe seizures,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/f/fb/Frontal_lobe_tumor.jpg
Frostbite,"Dermatology Emergency medicine, orthopedics","Numbness, feeling cold, clumsiness, pale color",,,Temperatures below freezing,"Alcohol, smoking, mental health problems, certain medications, prior cold injury",Based on symptoms,"Avoid cold, wear proper clothing, maintain hydration and nutrition, stay active without becoming exhausted","Rewarming, medication, surgery",,Unknown,"Ibuprofen, tetanus vaccine, iloprost, thrombolytics",https://upload.wikimedia.org/wikipedia/commons/d/dd/CDC_winter_safety_infographic.ogv
Frozen shoulder,Orthopedics,"Shoulder pain, stiffness",40 to 60 year old,May last years,"Often unknown, prior shoulder injury","Diabetes, hypothyroidism",,,"NSAIDs, physical therapy, steroids, injecting the shoulder at high pressure, surgery",,~4%,,https://upload.wikimedia.org/wikipedia/commons/a/a3/Gray327.png
FSGS,Nephrology,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/1/18/Bowman%27s_capsule_and_glomerulus.svg
Fuchs ' dystrophy,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/6/60/Fuchs_dystrophy_1.JPG
Functional neurologic disorders/conversion disorder,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/9/96/Gray739.png
Galactorrhea,Obstetrics,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/9/99/Wiktionary-logo-en-v2.svg
Gallbladder cancer,Gastroenterology Hepatology Oncology,"Abdominal pain, Bloating, Fever, Unexplained weight loss, Nausea, Yellowing of the skin, although some people may have no symptoms",Above 65 years old,,Unknown,History of Gallstones and other Gallbladder diseases,"Blood tests, medical imaging, examination of the Bile duct",,"Surgery, Radiation therapy, Chemotherapy","Five-year survival rate ~19% (USA) (January, 2020)","~3,700 cases per year (USA)",,https://upload.wikimedia.org/wikipedia/commons/d/d8/Gallbladder_adenocarcinoma_%281%29_histopathology.jpg
Gallstones,General surgery,"None, crampy pain in the right upper abdomen",After 40 years old,,,"Birth control pills, pregnancy, family history, obesity, diabetes, liver disease, rapid weight loss","Based on symptoms, confirmed by ultrasound","Healthy weight, diet high in fiber, diet low in simple carbohydrates","Asymptomatic: none, ursodeoxycholic acid (UDCA) and Chenodeoxycholic acid Pain: surgery ERCP, Cholecystectomy",Good after surgery,10â€“15% of adults (developed world),,https://upload.wikimedia.org/wikipedia/commons/8/88/Big_Gallstone.JPG
Ganglion cyst,Plastic surgery,Small soft lump associated with a joint,10 to 50 years old,,,,Typically based on signs,,"Watchful waiting, splinting the affected joint, needle aspiration, surgery",Not serious,"~3 per 10,000 per year (wrist and hand)",,https://upload.wikimedia.org/wikipedia/commons/2/26/Cyst_Profile2.JPG
Gangrene,"Infectious disease, surgery","Change in skin color to red or black, numbness, pain, skin breakdown, coolness",,,,"Diabetes, peripheral arterial disease, smoking, major trauma, alcoholism, plague, HIV/AIDS, frostbite, Raynaud's syndrome","Based on symptom, With medical imaging used to identify the underlying cause.",,Depends on underlying cause,Variable,Unknown,,https://upload.wikimedia.org/wikipedia/commons/8/8e/GangreneFoot.JPG
Gas and gas pains,,,,,,,,,,,,,
Gastritis,Gastroenterology,"Upper abdominal pain, nausea, vomiting, bloating, loss of appetite, heartburn",,Short or long term,"Helicobacter pylori, NSAIDs, alcohol, smoking, cocaine, severe illness, autoimmune problems",,"Endoscopy, upper gastrointestinal series, blood tests, stool tests",,"Antacids, H2 blockers, proton pump inhibitors, antibiotics",,~50% of people,,https://upload.wikimedia.org/wikipedia/commons/b/b1/CC-BY-icon-80x15.png
Gastrointestinal bleeding,Gastroenterology,"Vomiting red blood, vomiting black blood, bloody stool, black stool, feeling tired",,,"Upper: peptic ulcer disease, esophageal varices due to liver cirrhosis, cancerLower: hemorrhoids, cancer, inflammatory bowel disease",,"Medical history and physical examination, blood tests",,"Intravenous fluids, blood transfusions, endoscopy",~15% risk of death,"Upper: 100 per 100,000 adults per yearLower: 25 per 100,000 per year","Proton pump inhibitors, octreotide, antibiotics",https://upload.wikimedia.org/wikipedia/commons/0/00/Positive_fecal_occult_blood_test.jpg
Gastrointestinal stromal tumor ( GIST ),,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/e/e4/CT_image_of_a_GIST_tumor_in_the_gastric_cardia.jpg
Gastroparesis,Gastroenterology,"Nausea, vomiting, abdominal pain, feeling full after eating just a few bites",,,,,,,,,possibly up to 4%,,
Gender identity disorder,"Psychiatry, psychology",Distress related to one's assigned gender or sex,,,,,,,"Transitioning, psychotherapy",,,"Hormones (e.g., androgens, antiandrogens, estrogens)",https://upload.wikimedia.org/wikipedia/commons/9/94/2013_Rally_for_Transgender_Equality_21175.jpg
Generalized anxiety disorder,Psychiatry,"Excessive worry, restlessness, trouble sleeping, feeling tired, irritability, sweating, trembling",,,,,,,"Behavioral therapy, Metacognitive therapy, medications",,3â€“5% (lifetime prevalence),,https://upload.wikimedia.org/wikipedia/commons/7/7a/Amygdala_small.gif
Geographic tongue,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/9/97/Fissured_geographic_tongue.jpg
Germ cell tumors,Oncology,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/e/e0/Seminoma_high_mag.jpg
Gestational diabetes,Obstetrics and endocrinology,Typically few symptoms,Most common last three months of pregnancy,,Not enough insulin in the setting of insulin resistance,"Overweight, previously having gestational diabetes, family history of type 2 diabetes, polycystic ovarian syndrome",Screening blood tests,Maintaining a healthy weight and exercising before pregnancy,"Diabetic diet, exercise, insulin injections",,~6% of pregnancies,,https://upload.wikimedia.org/wikipedia/commons/4/43/Blue_circle_for_diabetes.svg
Giant lymph node hyperplasia,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/6/66/Castleman_disease_-_high_mag.jpg
Giardia infection ( giardiasis ),,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/9/91/Giardia_LifeCycle.gif
Gilbert 's syndrome,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/6/6a/Bilirubin.svg
Glaucoma,"Ophthalmology, Optometry","Vision loss, eye pain, mid-dilated pupil, redness of the eye, nausea","Gradual, or sudden",,,"Increased pressure in the eye, family history, high blood pressure",Dilated eye examination,,"Medication, laser, surgery",,6â€“67 million,,https://upload.wikimedia.org/wikipedia/commons/5/59/Bartholom%C3%A4us_Spranger_006.jpg
Glioblastoma,"Neuro-oncology, neurosurgery","Initially nonspecific, headaches, personality changes, nausea, symptoms similar to a stroke",~ 64 years old,,Usually unclear,"Genetic disorders (neurofibromatosis, Liâ€“Fraumeni syndrome), previous radiation therapy","CT scan, MRI scan, tissue biopsy",Unknown,"Surgery, chemotherapy, radiation",Life expectancy ~ 14 months with treatment (5 year survival <7%),"3 per 100,000 per year","Temozolomide, steroids",https://upload.wikimedia.org/wikipedia/commons/d/d7/BrainCAConMark.png
Glioma,Oncology,,,,,,,,,,,,
Glomerulonephritis,Nephrology,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/6/6a/Crescentic_glomerulonephritis_HE_stain.JPEG
Glucocerebrosidase deficiency,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/e/e2/Acid_beta_glucosidase.png
Gonorrhea,Infectious disease,"None, burning with urination, vaginal discharge, discharge from the penis, pelvic pain, testicular pain",,,Neisseria gonorrhoeae typically sexually transmitted,,"Testing the urine, urethra in males, or cervix in females","Condoms, having sex with only one person who is uninfected, not having sex",Ceftriaxone by injection and azithromycin by mouth,,"0.8% (women), 0.6% (men)",,https://upload.wikimedia.org/wikipedia/commons/1/1c/Chart_of_gonorrhea_infection_rates_%28USA%2C_1941-2007%29.png
Gout,Rheumatology,"Joint pain, swelling, and redness","Older males, post-menopausal women",,Uric acid,"Diet high in meat or beer, being overweight",,"Weight loss, vitamin C, not drinking alcohol, allopurinol","NSAIDs, glucocorticoids, colchicine",,1â€“2% (developed world),,https://upload.wikimedia.org/wikipedia/commons/5/55/A_white_irish_goat.jpg
Granuloma annulare,Dermatology,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/5/5f/Granuloma_annulare.jpg
Graves ' disease,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/3/3f/Basedow-vor-nach-RIT.jpg
Group B strep disease,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/d/d9/CAMP_test.JPG
Growing pains,Pediatrics,,,,,,,,,,,,
Growth hormone excess,Endocrinology,"Enlargement of the hands, feet, forehead, jaw, and nose, thicker skin, deepening of the voice",Middle age,,Excess growth hormone,,"Blood tests, medical imaging",,"Surgery, medications, radiation therapy","Usually normal (with treatment), 10 year shorter life expectancy (no treatment)","3 per 50,000 people","Somatostatin analogue, GH receptor antagonist",https://upload.wikimedia.org/wikipedia/commons/f/f7/Acromegaly_growth_hormone_levels.JPEG
Growth plate fractures,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/1/1b/SalterHarris.svg
Guillain-Barre syndrome,Neurology,"Muscle weakness beginning in the feet and hands, usually ascending",Rapid (hours to weeks),,Typically triggered by an infection; occasionally by surgery and rarely by vaccination,,"Based on symptoms, nerve conduction studies, lumbar puncture",,"Supportive care, intravenous immunoglobulin, plasmapheresis",Weeks to years for recovery,"2 per 100,000 people per year",,https://upload.wikimedia.org/wikipedia/commons/d/df/ARS_Campylobacter_jejuni.jpg
Hair loss,Dermatology,Loss of hair from part of the head or body.,,,,,,,"Accepting the condition, medications, surgery",,"50% of males, 25% of females (pattern hair loss by age 50)","Pattern hair loss: minoxidil, finasterideAlopecia areata: steroid injections",
Hairy tongue,Dermatology,,,,,"Smoking, poor oral hygiene, soft diet",Based on clinical appearance,,Reassurance,,,,https://upload.wikimedia.org/wikipedia/commons/1/16/Black_tongue.jpg
Halitosis,"Gastroenterology, otorhinolaryngology, dentistry",Unpleasant smell present on breath,,,Usually from inside the mouth,,,,"Depends on cause, tongue cleaning, mouthwash, flossing",,~30% of people,Mouthwash containing chlorhexidine or cetylpyridinium chloride,https://upload.wikimedia.org/wikipedia/commons/a/ac/Depiction_of_a_person_who_has_Halitosis_%28or_bad_breath%29.png
Hamstring injury,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/7/76/2010-10-02_pulled_hamstring.jpg
Hand fracture,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/a/a1/3D_Medical_Animation_Human_Wrist.jpg
Hand-foot-and-mouth disease,Infectious disease,"Fever, flat discolored spots or bumps that may blister",3â€“6 days post exposure,1 week,"Coxsackievirus A16, Enterovirus 71",,"Based on symptoms, viral culture",Handwashing,Supportive care,,As outbreaks,Pain medication such as ibuprofen,https://upload.wikimedia.org/wikipedia/commons/5/5c/Characteristic_rash_of_hand%2C_foot%2C_and_mouth_disease%2C_on_human_hands.jpg
Hangovers,"Psychiatry, toxicology",,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/2/22/3205_-_Milano%2C_Duomo_-_Giorgio_Bonola_-_Miracolo_di_Marco_Spagnolo_%281681%29_-_Foto_Giovanni_Dall%27Orto%2C_6-Dec-2007-cropped.jpg
Hardening of the arteries,"Cardiology, angiology",None,Youth (worsens with age),,Unknown,"High blood pressure, diabetes, smoking, obesity, family history, unhealthy diet",,"Healthy diet, exercise, not smoking, maintaining a normal weight",,,â‰ˆ100% (>65 years old),"Statins, blood pressure medication, aspirin",
Head and neck cancers,"Oncology, oral and maxillofacial surgery","Lump or sore that does not heal, sore throat that does not go away, trouble swallowing, change in the voice",,,,"Alcohol, tobacco, betel quid, human papillomavirus, radiation exposure, certain workplace exposures, Epstein-Barr virus",Tissue biopsy,Not using tobacco or alcohol,"Surgery, radiation therapy, chemotherapy, targeted therapy",,5.5 million (affected during 2015),,https://upload.wikimedia.org/wikipedia/commons/c/ce/Guanine_and_2_oxidative_products.svg
"Headache , chronic daily",,,,,,,,,,,,,
"Headache , cluster",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/8/83/Gray778.png
"Headache , exercise",,,,,,,,,,,,,
"Headache , external compression",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/6/62/Sporthelme.jpg
"Headache , primary cough",,,,,,,,,,,,,
Headaches in children,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/4/46/Cruikshank_-_The_Head_Ache.png
Heart arrhythmias,Cardiology,"Palpitations, lightheadedness, passing out, shortness of breath, chest pain",Older age,,Problems with the electrical conduction system of the heart,,"Electrocardiogram, Holter monitor",,"Medications, medical procedures (pacemaker), surgery",,Millions,,https://upload.wikimedia.org/wikipedia/commons/7/77/De-Atrial_ventricular_%28CardioNetworks_ECGpedia%29.png
Heart defects in adults,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/3/3e/Congenital_heart_anomalies_world_map-Deaths_per_million_persons-WHO2012.svg
Heart disease,Cardiology,"Chest pain, shortness of breath",Older adults,,,,,"Healthy eating, exercise, avoiding tobacco smoke, limited alcohol intake","Treating high blood pressure, high blood lipids, diabetes",,,,https://upload.wikimedia.org/wikipedia/commons/1/16/CC-BY_icon.svg
Heart failure,Cardiology,"Shortness of breath, feeling tired, leg swelling",,Usually lifelong,"Heart attack, high blood pressure, abnormal heart rhythm, excessive alcohol use, infection, heart damage","Smoking, sedentary lifestyle, exposure to second-hand smoke",Echocardiogram,,,,"40 million (2015), 1â€“2% of adults (developed countries)","Diuretics, cardiac medications",https://upload.wikimedia.org/wikipedia/commons/f/f9/CHF2016.png
Heart murmurs,Cardiology,Whooshing,,,"Insufficiency, regurgitation, stenosis",,,,,,,,https://upload.wikimedia.org/wikipedia/commons/8/87/Gnome-mime-sound-openclipart.svg
Heartburn,"Gastroenterology, family medicine, emergency medicine","Burning, stabbing, or squeezing sensation in the chest, nausea, belching",,,Gastroesophageal reflux disease,"Smoking, obesity,","Physical examination, medical history, antacid response, imaging, manometry,","Avoid foods that are high in fats, spicy, high in artificial flavors. Avoid reclining 3-4 hours after a meal, heavy NSAID use, heavy alcohol consumption, decrease peppermint consumption. Chew foods thoroughly between bites, consume meals with plenty of liquid, and ensure adequate time to eat meals in a non-hurried fashion","Antacids, weight loss, surgery",,,Antacids,
Heat exhaustion,,,,,,,,,,,,,
Heatstroke,Emergency medicine,"High body temperature, red, dry or damp skin, headache, dizziness, confusion, nausea",,,"High external temperatures, physical exertion","Extremes of age, heat waves, high humidity, certain drugs, heart disease, skin disorders",Based on symptoms,,"Rapid cooling, supportive care","Risk of death <5% (exercise induced), up to 65% (non exercise induced)",,,https://upload.wikimedia.org/wikipedia/commons/1/18/The_British_Army_in_the_Middle_East_1943_E26027.jpg
Helicobacter pylori ( H. pylori ) infection,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/d/d6/EMpylori.jpg
Hemifacial spasm,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/1/1f/Cranial_nerve_VII.svg
