Name,link,Symptoms,Overview,Causes,Risk factors,Diagnosis,Treatment,Remedies,Medication,info-Specialty,info-Symptoms,info-Usual onset,info-Duration,info-Causes,info-Risk factors,info-Diagnostic method,info-Prevention,info-Treatment,info-Prognosis,info-Frequency,info-Medication,ImageURL
Hypercalcemia,https://www.mayoclinic.org/diseases-conditions/hypercalcemia/symptoms-causes/syc-20355523,"More-severe cases produce signs and symptoms related to the parts of the body affected by the high calcium levels in the blood. Examples include Contact the doctor if one develop signs and symptoms that might indicate hypercalcemia, such as being extremely thirsty, urinating frequently and having abdominal pain. Hypercalcemia can cause stomach upset, nausea, vomiting and constipation. In most cases, the excess calcium in the blood was leached from the bones, which weakens them. Hypercalcemia can interfere with how the brain works, resulting in confusion, lethargy and fatigue. Rarely, severe hypercalcemia can interfere with the heart function, causing palpitations and fainting, indications of cardiac arrhythmia, and other heart problems.","The parathyroid glands, which lie behind the thyroid, manufacture the parathyroid hormone, which plays a role in regulating the body's levels of the minerals calcium and phosphorus. Other causes of hypercalcemia include cancer, certain other medical disorders, some medications, and taking too much of calcium and vitamin D supplements.","Besides building strong bones and teeth, calcium helps muscles contract and nerves transmit signals. This most common cause of hypercalcemia can stem from a small, noncancerous (benign) tumor or enlargement of one or more of the four parathyroid glands. Lung cancer and breast cancer, as well as some blood cancers, can increase the risk of hypercalcemia. Certain diseases, such as tuberculosis and sarcoidosis, can raise blood levels of vitamin D, which stimulates the digestive tract to absorb more calcium. A rare genetic disorder known as familial hypocalciuric hypercalcemia causes an increase of calcium in the blood because of faulty calcium receptors in the body. Over time, bones that don't bear weight release calcium into the blood. Certain drugs such as lithium, used to treat bipolar disorder might increase the release of parathyroid hormone. Taking excessive amounts of calcium or vitamin D supplements over time can raise calcium levels in the blood above normal.",,,,,"In some cases, the doctor might recommend: Problems associated with overactive parathyroid glands often can be cured by surgery to remove the tissue that's causing the problem. Intravenous osteoporosis drugs, which can quickly lower calcium levels, are often used to treat hypercalcemia due to cancer. If the hypercalcemia is caused by high levels of vitamin D, short-term use of steroid pills such as prednisone are usually helpful. One might need hospitalization for treatment with IV fluids and diuretics to promptly lower the calcium level to prevent heart rhythm problems or damage to the nervous system.",Endocrinology,"Abdominal pain, bone pain, confusion, depression, weakness",,,"Primary hyperparathyroidism, cancer, sarcoidosis, tuberculosis, Paget disease, multiple endocrine neoplasia, vitamin D toxicity",,Blood serum level > 2.6Â mmol/l (corrected calcium or ionized calcium),,"Underlying cause, intravenous fluids, furosemide, calcitonin, pamidronate, hemodialysis",,"4 per 1,000",See article,https://upload.wikimedia.org/wikipedia/commons/6/6f/Ca-TableImage.svg
Hypercholesterolemia,https://www.mayoclinic.org/diseases-conditions/high-blood-cholesterol/symptoms-causes/syc-20350800,"Retesting for adults with no risk factors for heart disease is usually done every five years. If the test results aren't within desirable ranges, the doctor might recommend more-frequent measurements.",,"Factors one can control such as inactivity, obesity and an unhealthy diet contribute to high cholesterol and low HDL cholesterol. For example, the genetic makeup might keep cells from removing LDL cholesterol from the blood efficiently or cause the liver to produce too much cholesterol.","Eating saturated fat, found in animal products, and trans fats, found in some commercially baked cookies and crackers and microwave popcorn, can raise the cholesterol level. Foods that are high in cholesterol, such as red meat and full-fat dairy products, will also increase the cholesterol. Exercise helps boost the body's HDL, or good, cholesterol while increasing the size of the particles that make up the LDL, or bad, cholesterol, which makes it less harmful. Smoking might also lower the level of HDL, or good, cholesterol. Because the body's chemistry changes as one age, the risk of high cholesterol climbs. High blood sugar contributes to higher levels of a dangerous cholesterol called very-low-density lipoprotein (VLDL) and lower HDL cholesterol.",,"Choices include atorvastatin (Lipitor), fluvastatin (Lescol XL), lovastatin (Altoprev), pitavastatin (Livalo), pravastatin (Pravachol), rosuvastatin (Crestor) and simvastatin (Zocor). The medications cholestyramine (Prevalite), colesevelam (Welchol) and colestipol (Colestid) lower cholesterol indirectly by binding to bile acids. The drug ezetimibe (Zetia) helps reduce blood cholesterol by limiting the absorption of dietary cholesterol. A newer class of drugs, known as PCSK9 inhibitors, can help the liver absorb more LDL cholesterol which lowers the amount of cholesterol circulating in the blood. Alirocumab (Praluent) and evolocumab (Repatha) might be used for people who have a genetic condition that causes very high levels of LDL or in people with a history of coronary disease who have intolerance to statins or other cholesterol medications.","To bring the numbers down, try the following: Eat a heart-healthy diet. Limit saturated fats, found in red meat and full-fat dairy products, and trans fats, found in many processed foods. With the doctor's OK, work up to at least 30 minutes of moderate intensity exercise five times a week or vigorous exercise five times a week.","The medications fenofibrate (TriCor, Fenoglide, others) and gemfibrozil (Lopid) reduce the liver's production of very-low-density lipoprotein (VLDL) cholesterol and speed the removal of triglycerides from the blood. If one choose to take over-the-counter supplements, get the doctor's OK. Omega-3 fatty acid supplements could affect other medications one is taking. If one decide to take cholesterol medication, the doctor might recommend liver function tests to monitor the medication's effect on the liver. Niacin has also been linked to liver damage and strokes, so most doctors now recommend it only for people who can't take statins. They are available by prescription or over-the-counter.If one choose to take over-the-counter supplements, get the doctor's OK. Omega-3 fatty acid supplements could affect other medications one is taking.",Cardiology,,,,"Poor diet, junk food, fast food, diabetes, alcoholism, monoclonal gammopathy, dialysis therapy, nephrotic syndrome, hypothyroidism, Cushingâ€™s syndrome, anorexia nervosa",,,,,,,,https://upload.wikimedia.org/wikipedia/commons/9/9a/Cholesterol.svg
"Hypercholesterolemia , familial",https://www.mayoclinic.org/diseases-conditions/familial-hypercholesterolemia/symptoms-causes/syc-20353755,,"Familial hypercholesterolemia affects the way the body processes cholesterol. As a result, people with familial hypercholesterolemia have a higher risk of heart disease and a greater risk of early heart attack.",This defect prevents the body from ridding itself of the type of cholesterol that can build up in the arteries and cause heart disease. This type of cholesterol is called low-density lipoprotein but it's also commonly known as LDL or bad cholesterol.,,,"Specific recommendations include With familial hypercholesterolemia, the doctor likely will also recommend that one take medication to help lower the LDL cholesterol levels. Statins may also help the body reabsorb cholesterol from built-up deposits on the artery walls, potentially reversing coronary artery disease. Choices include atorvastatin (Lipitor), fluvastatin (Lescol), lovastatin (Altoprev,), pitavastatin (Livalo), pravastatin (Pravachol), rosuvastatin (Crestor) and simvastatin (Zocor). The liver uses cholesterol to make bile acids, a substance needed for digestion. The medications cholestyramine (Prevalite), colesevelam (Welchol) and colestipol (Colestid) lower cholesterol indirectly by binding to bile acids. This prompts the liver to use excess cholesterol to make more bile acids, which reduces the level of cholesterol in the blood. The drug ezetimibe (Zetia) helps reduce blood cholesterol by limiting the absorption of dietary cholesterol. The combination drug ezetimibe-simvastatin (Vytorin) decreases both absorption of dietary cholesterol in the small intestine and production of cholesterol in the liver.",,"If one also have high triglycerides, the doctor may prescribe: Tolerance of medications varies from person to person. If one decide to take cholesterol-lowering medication, the doctor may recommend liver function tests to monitor the medication's effect on the liver. The medications fenofibrate (Tricor) and gemfibrozil (Lopid) decrease triglycerides by reducing the liver's production of very-low-density lipoprotein (VLDL) cholesterol and by speeding up the removal of triglycerides from the blood. Niacin (Niaspan) decreases triglycerides by limiting the liver's ability to produce LDL and VLDL cholesterol. Niacin has also been linked to liver damage and stroke, so most doctors now recommend it only for people who can't take statins.",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/0/0e/Closed_Access_logo_transparent.svg
Hypercortisolism,https://www.mayoclinic.org/diseases-conditions/cushing-syndrome/symptoms-causes/syc-20351310,,"Left untreated, Cushing syndrome can result in exaggerated facial roundness, weight gain around the midsection and upper back, thinning of the arms and legs, easy bruising and stretch marks. Too much cortisol can produce some of the hallmark signs of Cushing syndrome a fatty hump between the shoulders, a rounded face, and pink or purple stretch marks on the skin.","However, when the level of cortisol is too high in the body, one may develop Cushing syndrome. It's also possible to develop Cushing syndrome from injectable corticosteroids for example, repeated injections for joint pain, bursitis and back pain. The condition may also be due to the body's own overproduction of cortisol (endogenous Cushing syndrome). This may occur from excess production by one or both adrenal glands, or overproduction of the adrenocorticotropic hormone (ACTH), which normally regulates cortisol production. Cancerous tumors of the adrenal cortex (adrenocortical carcinomas) are rare, but they can cause Cushing syndrome as well. Rarely, a tumor that develops in an organ that normally does not produce ACTH will begin to secrete this hormone in excess, resulting in Cushing syndrome. Rarely, people inherit a tendency to develop tumors on one or more of their endocrine glands, affecting cortisol levels and causing Cushing syndrome.",,"He or she may suspect Cushing syndrome if one has signs such as rounding of the face (moon face), a pad of fatty tissue between the shoulders and neck (buffalo hump), and thin skin with bruises and stretch marks. If one has been taking a corticosteroid medication for a long time, the doctor may suspect that one has developed Cushing syndrome as a result of this medication. These tests help the doctor diagnose Cushing syndrome, and they may help rule out other medical conditions with similar signs and symptoms. For example, polycystic ovary syndrome a hormone disorder in women with enlarged ovaries shares some of the same signs and symptoms as Cushing syndrome, such as excessive hair growth and irregular menstrual periods. By analyzing cortisol levels from a small sample of saliva collected late at night, doctors can see if cortisol levels are too high, suggesting a diagnosis of Cushing syndrome.",,"One didn't develop Cushing syndrome overnight, and the symptoms won't disappear overnight, either. Nutritious, wholesome foods provide a good source of fuel for the recovering body and can help one lose the extra pounds that one gained from Cushing syndrome. Make sure one is getting enough calcium and vitamin D. Taken together, they help the body absorb calcium, which can help strengthen the bones, counteracting the bone density loss that often occurs with Cushing syndrome. Depression can be a side effect of Cushing syndrome, but it can also persist or develop after treatment begins. Hot baths, massages and low-impact exercises, such as water aerobics and tai chi, can help alleviate some of the muscle and joint pain that accompanies Cushing syndrome recovery.","Medications to control excessive production of cortisol at the adrenal gland include ketoconazole, mitotane (Lysodren) and metyrapone (Metopirone). Side effects from these medications may include fatigue, nausea, vomiting, headaches, muscle aches, high blood pressure, low potassium and swelling. If none of these treatment options is appropriate or effective, the doctor may recommend surgical removal of the adrenal glands (bilateral adrenalectomy).",Endocrinology,"High blood pressure, abdominal obesity with thin arms and legs, reddish stretch marks, round red face, fat lump between the shoulders, weak muscles, acne, fragile skin",20â€“50 years,,Prolonged exposure to cortisol,,Requires a number of steps,,Based on underlying cause,Generally good with treatment,2â€“3 per million people per year,,https://upload.wikimedia.org/wikipedia/commons/8/85/BabyCushing.png
Hypereosinophilic syndrome,https://www.mayoclinic.org/diseases-conditions/hypereosinophilic-syndrome/symptoms-causes/syc-20352854,,,,,,,,"One might also be prescribed blood-thinning medications such as warfarin (Coumadin). Depending on the symptoms, one may be referred to specialists in blood diseases (hematology), heart conditions (cardiology) or allergies. Any medications, including vitamins, herbs and over-the-counter medicines that one is taking, and their dosages Key personal information, including any major stresses or recent changes in the life Will I need additional tests? What, if anything, seems to improve the symptoms? What, if anything, appears to worsen the symptoms?",Hematology,,,,,,,,,,,,
Hyperglycemia in diabetes,https://www.mayoclinic.org/diseases-conditions/hyperglycemia/symptoms-causes/syc-20373631,,,,,"If the blood sugar level is 240 mg/dL (13.3 mmol/L) or above, use an over-the-counter urine ketones test kit. Between 80 and 120 mg/dL (4.4 and 6.7 mmol/L) for people age 59 and younger who have no other underlying medical conditions Between 100 and 140 mg/dL (5.6 and 7.8 mmol/L) for people age 60 and older, those who have other medical conditions, such as heart, lung or kidney disease, or those who have a history of low blood sugar (hypoglycemia) or who have difficulty recognizing the symptoms of hypoglycemia Between 80 and 130 mg/dL (4.4 and 7.2 mmol/L) before meals Less than 180 mg/dL (10 mmol/L) two hours after meals A1C test",,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/4/49/Aerobic_exercise.jpg
Hyperopia,https://www.mayoclinic.org/diseases-conditions/farsightedness/symptoms-causes/syc-20372495,,"Farsightedness (hyperopia) is a common vision condition in which one can see distant objects clearly, but objects nearby may be blurry. People with severe farsightedness may be able to clearly see only objects a great distance away, while those with mild farsightedness may be able to clearly see objects that are closer.","In farsightedness (hyperopia), the cornea doesn't refract light properly, so the point of focus falls behind the retina. If the cornea or lens isn't evenly and smoothly curved, light rays aren't refracted properly, and one has a refractive error. In addition to farsightedness, other refractive errors include The cornea is the clear, dome-shaped front surface of the eye. Instead of being focused precisely on the retina, light is focused in front of the retina, resulting in a blurry appearance for distant objects.",,,,"One can't prevent farsightedness, but one can help protect the eyes and the vision by following these tips: See the doctor immediately if one has any of these symptoms: Sudden loss of vision in one eye with or without pain; sudden hazy or blurred vision; double vision; or visual flashes of light, black spots or halos around lights. Certain conditions, such as diabetes and high blood pressure, can affect the vision if not treated. And studies show that the eyes benefit if one also include in the diet fish high in omega-3 fatty acids, such as tuna and salmon. Just as smoking isn't good for the rest of the body, smoking can adversely affect the eye health as well. Look away from the computer or near-task work, including reading, every 20 minutes for 20 seconds at something 20 feet away.",,"Ophthalmology, optometry","Near blur, Distance and near blur, Asthenopia",,,"Axial length of eyeball is too short, lens or cornea is flatter than normal, aphakia","Ageing, hereditary",Eye exam,,"Eyeglasses, contact lenses, refractive surgeries, IOL implantation",,~7.5% (US),,https://upload.wikimedia.org/wikipedia/commons/c/c5/1999_Choroid_folds.jpg
Hyperoxaluria and oxalosis,https://www.mayoclinic.org/diseases-conditions/hyperoxaluria/symptoms-causes/syc-20352254,,"Hyperoxaluria occurs when one has too much oxalate in the urine. Hyperoxaluria can be caused by inherited (genetic) disorders, an intestinal disease or eating too many oxalate-rich foods. Oxalosis happens after the kidneys fail in people who have primary and intestinal causes of hyperoxaluria, and excess oxalate builds up in the blood.","The extra oxalate can combine with calcium to create kidney stones and crystals, which can damage the kidneys and cause them to stop working (renal failure). Because of the very large amounts of oxalate produced, the kidneys of many people with primary hyperoxaluria fail by early to middle adulthood. But renal failure can occur as early as infancy, while others with primary hyperoxaluria never develop kidney failure.",,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/d/db/Oxalate-ion-2D-skeletal.png
Hyperparathyroidism,https://www.mayoclinic.org/diseases-conditions/hyperparathyroidism/symptoms-causes/syc-20356194,,"The parathyroid glands, which lie behind the thyroid, manufacture the parathyroid hormone, which plays a role in regulating the body's levels of the minerals calcium and phosphorus. In primary hyperparathyroidism, an enlargement of one or more of the parathyroid glands causes overproduction of the hormone.","When calcium levels in the blood fall too low, the parathyroid glands secrete enough PTH to restore the balance. When blood-calcium levels are too high, the parathyroid glands produce less PTH. If one don't get enough vitamin D, then calcium levels may drop. If the kidneys work poorly, usable vitamin D may decline and calcium levels drop, causing parathyroid hormone levels to go up. The body may not get enough calcium from the diet, often because the digestive system doesn't absorb the calcium from it. If one don't get enough vitamin D, then calcium levels may drop.t ttChronic kidney failure.",,"If blood test results show one has high calcium levels in the blood, the doctor will likely repeat the test to confirm the results after one hasn't eaten for a period of time. But the doctor can diagnose hyperparathyroidism if blood tests show one also have high levels of parathyroid hormone. After diagnosing hyperparathyroidism, the doctor will likely order more tests to rule out possible secondary causes, to identify possible complications and to judge the severity of the condition. If the doctor recommends surgery, he or she will likely use one of these imaging tests to locate the parathyroid gland or glands that are causing problems: Sestamibi parathyroid scan.",,"If one and the doctor have chosen to monitor, rather than treat, the hyperparathyroidism, the following suggestions can help prevent complications: Monitor how much calcium and vitamin D one get in the diet. The daily recommended amount of calcium for adults ages 19 to 50 and men ages 51 to 70 is 1,000 milligrams (mg) of calcium a day. That calcium recommendation increases to 1,200 mg a day for women age 51 and older and men age 71 and older. The daily recommended amount of vitamin D is 600 international units (IUs) of vitamin D a day for people ages 1 to 70 and 800 IUs a day for adults age 71 and older.",,Endocrinology,"None, kidney stones, weakness, depression, bone pains, confusion, increased urination",50 to 60,,"Primary: parathyroid adenoma, multiple benign tumors, parathyroid cancerSecondary: vitamin D deficiency, chronic kidney disease, low blood calcium",,High blood calcium and high PTH levels,,"Monitoring, surgery, intravenous normal saline, cinacalcet",,"~2 per 1,000",,https://upload.wikimedia.org/wikipedia/commons/b/ba/Blausen_0533_Parathyroid_adenoma.png
Hypertension,https://www.mayoclinic.org/diseases-conditions/high-blood-pressure/symptoms-causes/syc-20373410,"The doctor will likely recommend more frequent readings if one has already been diagnosed with high blood pressure or have other risk factors for cardiovascular disease. Public blood pressure machines, such as those found in pharmacies, may provide helpful information about the blood pressure, but they may have some limitations.",,"This type of high blood pressure, called primary (essential) hypertension, tends to develop gradually over many years. This type of high blood pressure, called secondary hypertension, tends to appear suddenly and cause higher blood pressure than does primary hypertension.","High blood pressure has many risk factors, including Drinking too much alcohol. Sometimes pregnancy contributes to high blood pressure, as well. Although high blood pressure is most common in adults, children may be at risk, too. For some children, high blood pressure is caused by problems with the kidneys or heart. But for a growing number of kids, poor lifestyle habits, such as an unhealthy diet, obesity and lack of exercise, contribute to high blood pressure. Until about age 64, high blood pressure is more common in men. High blood pressure is particularly common among people of African heritage, often developing at an earlier age than it does in whites. As the volume of blood circulated through the blood vessels increases, so does the pressure on the artery walls. Not only does smoking or chewing tobacco immediately raise the blood pressure temporarily, but the chemicals in tobacco can damage the lining of the artery walls. Too much sodium in the diet can cause the body to retain fluid, which increases blood pressure. If one try to relax by eating more, using tobacco or drinking alcohol, one may only increase problems with high blood pressure. Certain chronic conditions also may increase the risk of high blood pressure, such as kidney disease, diabetes and sleep apnea.","A blood pressure reading, as shown in the blood pressure monitor in the image, measures the pressure in the arteries when the heart beats (systolic pressure) in the first number, and the pressure in the arteries between heartbeats (diastolic pressure) in the second number. A blood pressure reading, given in millimeters of mercury (mm Hg), has two numbers. This is because blood pressure normally varies throughout the day, and it may be elevated during visits to the doctor (white coat hypertension).","The blood pressure treatment goal should be less than 130/80 mm Hg if: Although 120/80 mm Hg or lower is the ideal blood pressure goal, doctors are unsure if one need treatment (medications) to reach that level. If one is age 65 or older, and use of medications produces lower systolic blood pressure (such as less than 130 mm Hg), the medications won't need to be changed unless they cause negative effects to the health or quality of life. Eating a heart-healthy diet with less salt Getting regular physical activity Maintaining a healthy weight or losing weight if one is overweight or obese Limiting the amount of alcohol one drink One is a healthy adult age 65 or older One is a healthy adult younger than age 65 with a 10 percent or higher risk of developing cardiovascular disease in the next 10 years One has chronic kidney disease, diabetes or coronary artery disease","Lifestyle changes can help one control and prevent high blood pressure, even if one is taking blood pressure medication. Regular physical activity can help lower the blood pressure, manage stress, reduce the risk of several health problems and keep the weight under control. Home blood pressure monitoring can help one keep closer tabs on the blood pressure, show if medication is working, and even alert one and the doctor to potential complications. Home blood pressure monitoring isn't a substitute for visits to the doctor, and home blood pressure monitors may have some limitations. If the blood pressure is under control, check with the doctor about how often one need to check it. Get plenty of potassium, which can help prevent and control high blood pressure. Keeping a healthy weight, or losing weight if one is overweight or obese, can help one control the high blood pressure and lower the risk of related health problems. In general, one may reduce the blood pressure by about 1 mm Hg with each kilogram (about 2.2 pounds) of weight one lose. Even if one is healthy, alcohol can raise the blood pressure. According to the American Heart Association, device-guided breathing may be a reasonable nondrug option for lowering blood pressure, especially when anxiety accompanies high blood pressure or standard treatments aren't well-tolerated. If one is a woman with high blood pressure, discuss with the doctor how to control the blood pressure during pregnancy.","Thiazide diuretics are often the first, but not the only, choice in high blood pressure medications. If one is not taking a diuretic and the blood pressure remains high, talk to the doctor about adding one or replacing a drug one currently take with a diuretic. These medications including amlodipine (Norvasc), diltiazem (Cardizem, Tiazac, others) and others help relax the muscles of the blood vessels. If one is having trouble reaching the blood pressure goal with combinations of the above medications, the doctor may prescribe: Beta blockers. Beta blockers aren't usually recommended as the only medication one is prescribed, but they may be effective when combined with other blood pressure medications. Aliskiren (Tekturna) slows down the production of renin, an enzyme produced by the kidneys that starts a chain of chemical steps that increases blood pressure. If the blood pressure remains stubbornly high despite taking at least three different types of high blood pressure drugs, one of which usually should be a diuretic, one may have resistant hypertension. In fact, if one and the doctor can identify what's behind the persistently high blood pressure, there's a good chance one can meet the goal with the help of treatment that's more effective. If one don't take the high blood pressure medications exactly as directed, the blood pressure can pay the price. These medications such as lisinopril (Zestril), benazepril (Lotensin), captopril (Capoten) and others help relax blood vessels by blocking the formation of a natural chemical that narrows blood vessels. Evaluate potential causes of the condition and determine if those can be treated Review medications one is taking for other conditions and recommend one not take any that worsen the blood pressure Recommend that one monitor the blood pressure at home to see if one may have higher blood pressure in the doctor's office (white coat hypertension) Suggest healthy lifestyle changes, such as eating a healthy diet with less salt, maintaining a healthy weight and limiting how much alcohol one drink Make changes to the high blood pressure medications to come up with the most effective combination and doses Consider adding an aldosterone antagonist such as spironolactone (Aldactone), which may lead to control of resistant hypertension Thiazide diuretics.",Cardiology,None,,,Usually lifestyle and genetic factors,"Lack of sleep, Excess salt, excess body weight, smoking, alcohol Air Pollution",Resting blood pressureÂ 130/80 or 140/90Â mmHg,,"Lifestyle changes, medications",,16â€“37% globally,,https://upload.wikimedia.org/wikipedia/commons/d/d0/Blausen_0486_HighBloodPressure_01.png
Hypertrophic cardiomyopathy,https://www.mayoclinic.org/diseases-conditions/hypertrophic-cardiomyopathy/symptoms-causes/syc-20350198,,"Illustrations of a normal heart (left) and a heart with hypertrophic cardiomyopathy (HCM). However, in a small number of people with HCM, the thickened heart muscle can cause shortness of breath, chest pain or problems in the heart's electrical system, resulting in life-threatening abnormal heart rhythms (arrhythmias) or sudden death.","Hypertrophic cardiomyopathy is usually caused by abnormal genes (gene mutations) that cause the heart muscle to grow abnormally thick. In most people with hypertrophic cardiomyopathy, the muscular wall (septum) between the two bottom chambers of the heart (ventricles) becomes thicker than normal. People with hypertrophic cardiomyopathy also have an abnormal arrangement of heart muscle cells (myofiber disarray).",,The doctor will likely order tests to diagnose hypertrophic cardiomyopathy (HCM) or rule out other conditions that can cause similar symptoms. This test uses sound waves (ultrasound) to see if the heart's muscle is abnormally thick.,,"The doctor may recommend lifestyle changes, including Women who have hypertrophic cardiomyopathy can generally have normal pregnancies. However, if one has hypertrophic cardiomyopathy, the doctor may recommend that one see a doctor experienced in caring for women with high-risk conditions during the pregnancy. Competitive sports are generally not recommended for people with hypertrophic cardiomyopathy, with the possible exception of some low-intensity sports. If one has symptoms or a history of rhythms provoked by alcohol, ask the doctor for guidance about safe levels of alcohol use.",,Cardiology,"Feeling tired, leg swelling, shortness of breath, chest pain, fainting",,,"Genetics, Fabry disease, Friedreich's ataxia, certain medications",,"Electrocardiogram, echocardiogram, stress testing, genetic testing",,"Medications, implantable cardiac defibrillator, surgery",Less than 1% per year risk of death (with treatment),1 in 500 people,"Beta blockers, diuretics, disopyramide",https://upload.wikimedia.org/wikipedia/commons/4/43/DVA2555_%28CardioNetworks_ECGpedia%29.jpg
"Hypoglycemia , diabetic",https://www.mayoclinic.org/diseases-conditions/diabetic-hypoglycemia/symptoms-causes/syc-20371525,,"Diabetic hypoglycemia occurs when someone with diabetes doesn't have enough sugar (glucose) in his or her blood. Low blood sugar (hypoglycemia) is defined as a blood sugar level below 70 milligrams per deciliter (mg/dL), or 3.9 millimoles per liter (mmol/L).",,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/5/5b/Glucose_test.JPG
Hypohidrosis,https://www.mayoclinic.org/diseases-conditions/anhidrosis/symptoms-causes/syc-20369400,,"Anhidrosis is the inability to sweat normally. When one don't sweat (perspire), the body can't cool itself, which can lead to overheating and sometimes to heatstroke a potentially fatal condition.",,,"During this test, known as a thermoregulatory sweat test, one is coated with a powder that changes color when and where one sweat. For this test, skin cells and sometimes sweat glands are removed for examination under a microscope.",,,,"Dermatology, neurology",,,,,,,,,"hyperthermia, heat stroke and death",,,
Hypohydration,https://www.mayoclinic.org/diseases-conditions/dehydration/symptoms-causes/syc-20354086,,,"Other dehydration causes include Diarrhea, vomiting. If one has vomiting along with diarrhea, one lose even more fluids and minerals. In general, the higher the fever, the more dehydrated one may become. If one do vigorous activity and don't replace fluids as one go along, one can become dehydrated. Hot, humid weather increases the amount one sweat and the amount of fluid one lose. Certain medications, such as diuretics and some blood pressure medications, also can lead to dehydration, generally because they cause one to urinate more.",,"If one is dehydrated, one is also likely to have low blood pressure, especially when moving from a lying to a standing position, a faster than normal heart rate and reduced blood flow to the extremities. To help confirm the diagnosis and pinpoint the degree of dehydration, one may have other tests, such as: Blood tests. Blood samples may be used to check for a number of factors, such as the levels of the electrolytes especially sodium and potassium and how well the kidneys are working.","For infants and children who have become dehydrated from diarrhea, vomiting or fever, use an over-the-counter oral rehydration solution. Most adults with mild to moderate dehydration from diarrhea, vomiting or fever can improve their condition by drinking more water or other liquids.",,,Critical care medicine,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/a/ad/Cholera_rehydration_nurses.jpg
Hyponatremia,https://www.mayoclinic.org/diseases-conditions/hyponatremia/symptoms-causes/syc-20373711,,"Hyponatremia occurs when the concentration of sodium in the blood is abnormally low. In hyponatremia, one or more factors ranging from an underlying medical condition to drinking too much water cause the sodium in the body to become diluted.","It helps maintain normal blood pressure, supports the work of the nerves and muscles, and regulates the body's fluid balance. This causes the body to lose electrolytes, such as sodium, and also increases ADH levels. Adrenal gland insufficiency (Addison's disease) affects the adrenal glands ability to produce hormones that help maintain the body's balance of sodium, potassium and water.","Older adults may have more contributing factors for hyponatremia, including age-related changes, taking certain medications and a greater likelihood of developing a chronic disease that alters the body's sodium balance. Medical conditions that may increase the risk of hyponatremia include kidney disease, syndrome of inappropriate anti-diuretic hormone (SIADH) and heart failure, among others. People who drink too much water while taking part in marathons, ultramarathons, triathlons and other long-distance, high-intensity activities are at an increased risk of hyponatremia.",,"If one has moderate, chronic hyponatremia due to the diet, diuretics or drinking too much water, the doctor may recommend temporarily cutting back on fluids. Options include Seek emergency care for anyone who develops severe signs and symptoms of hyponatremia, such as nausea and vomiting, confusion, seizures, or lost consciousness. Depending on the extent and duration of these signs and symptoms, the doctor may recommend seeking immediate medical care. One may take medications to manage the signs and symptoms of hyponatremia, such as headaches, nausea and seizures.",,,Nephrology,"Decreased ability to think, headaches, nausea, poor balance, confusion, seizures, coma",,,,,Serum sodium < 135 mmol/L,,Based on underlying cause,,Relatively common,,https://upload.wikimedia.org/wikipedia/commons/b/b1/CC-BY-icon-80x15.png
Hypoparathyroidism,https://www.mayoclinic.org/diseases-conditions/hypoparathyroidism/symptoms-causes/syc-20355375,,,,,,"However, at high doses, calcium supplements can cause gastrointestinal side effects, such as constipation, in some people. Vitamin D. High doses of vitamin D, generally in the form of calcitriol, can help the body absorb calcium and eliminate phosphorus. If the calcium levels remain low even with treatment, thiazide diuretics can help decrease the amount of calcium lost through the urine. Because of the potential risk of bone cancer (osteosarcoma), at least in animal studies, this drug is available only through a restricted program to people whose calcium levels can't be controlled with calcium and vitamin D supplements and who understand the risks.",,,Endocrinology,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/4/41/Global_thinking.svg
Hypoplastic left heart syndrome,https://www.mayoclinic.org/diseases-conditions/hypoplastic-left-heart-syndrome/symptoms-causes/syc-20350599,,"Hypoplastic left heart syndrome is a complex and rare heart defect present at birth (congenital). Medication to prevent closure of the connection (ductus arteriosus) between the right and left sides, followed by either surgery or a heart transplant, is necessary to treat hypoplastic left heart syndrome.","The lower chambers, the more muscular right and left ventricles, pump blood out of the heart. In performing its basic job pumping blood throughout the body the heart uses its left and right sides for different tasks. The left side of the heart pumps blood into a large vessel called the aorta, which circulates the oxygen-rich blood to the rest of the body. In this condition, the left side of the heart including the aorta, aortic valve, left ventricle and mitral valve is underdeveloped (hypoplastic). The oxygen-rich blood returns to the right side of the heart through a natural opening (foramen ovale) between the right chambers of the heart (atria).",,"After the baby is born, his or her doctor may suspect a heart defect, such as hypoplastic left heart syndrome, if the baby has grayish-blue skin color or has trouble breathing. The baby's doctor may also suspect a heart defect if he or she hears a heart murmur when listening to the heart with a stethoscope an abnormal whooshing sound caused by turbulent blood flow.",,,,Cardiology,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/0/05/Fontan_procedure.svg
